id;char;reading;translation;jlpt_level
1;現像;げんぞう;developing (film);1
2;原則;げんそく;principle, general rule;1
3;見地;けんち;point of view;1
4;現地;げんち;actual place, local;1
5;限定;げんてい;limit, restriction;1
6;原点;げんてん;origin (coordinates, starting point);1
7;原典;げんてん;original, source;1
8;原爆;げんばく;atomic bomb;1
9;原文;げんぶん;the text, original;1
10;厳密;げんみつ;strict, close;1
11;賢明;けんめい;wisdom, intelligence, prudence;1
12;倹約;けんやく;thrift, economy, frugality;1
13;原油;げんゆ;crude oil;1
14;兼用;けんよう;multi-use, combined use;1
15;権力;けんりょく;(political) power, authority, influence;1
16;言論;げんろん;discussion, speech;1
17;故～;こ～;deceased, late;1
18;語彙;ごい;vocabulary, glossary;1
19;恋する;こいする;to fall in love with, to love;1
20;甲;こう;"1st in rank; shell";1
21;～光;～こう;light;1
22;好意;こうい;good will, favor, courtesy;1
23;行為;こうい;act, deed, conduct;1
24;合意;ごうい;agreement, consent, mutual understanding;1
25;工学;こうがく;engineering;1
26;抗議;こうぎ;protest, objection;1
27;合議;ごうぎ;consultation, conference;1
28;皇居;こうきょ;Imperial Palace;1
29;好況;こうきょう;prosperous conditions, healthy economy;1
30;鉱業;こうぎょう;mining industry;1
31;興業;こうぎょう;"starting a business; industry";1
32;高原;こうげん;tableland, plateau;1
33;交互;こうご;mutual, reciprocal, alternate;1
34;煌々と;こうこうと;brightly;1
35;考古学;こうこがく;archeology;1
36;工作;こうさく;handicraft, maneuvering;1
37;耕作;こうさく;cultivation, farming;1
38;鉱山;こうざん;mine;1
39;講習;こうしゅう;short course, training;1
40;口述;こうじゅつ;verbal statement;1
41;控除;こうじょ;subsidy, deduction;1
42;交渉;こうしょう;negotiation;1
43;高尚;こうしょう;high, noble, refined;1
44;向上;こうじょう;rise, improvement, progress;1
45;行進;こうしん;march, parade;1
46;香辛料;こうしんりょう;spices;1
47;降水;こうすい;rainfall, precipitation;1
48;洪水;こうずい;flood;1
49;合成;ごうせい;synthetic, mixed;1
50;公然;こうぜん;openly;1
51;抗争;こうそう;dispute, resistance;1
52;構想;こうそう;plan, plot, idea, conception;1
53;後退;こうたい;retreat, backspace;1
54;光沢;こうたく;luster, glossy finish (of photographs);1
55;公団;こうだん;public corporation;1
56;好調;こうちょう;satisfactory, in good shape;1
57;口頭;こうとう;oral;1
58;講読;こうどく;reading;1
59;購読;こうどく;subscription;1
60;購入;こうにゅう;purchase, buy;1
61;公認;こうにん;official recognition, authorization;1
62;光熱費;こうねつひ;cost of fuel and light;1
63;購買;こうばい;purchase, buy;1
64;好評;こうひょう;popularity, favorable reputation;1
65;交付;こうふ;delivering, furnishing (with copies);1
66;公募;こうぼ;public appeal, public contribution;1
67;巧妙;こうみょう;ingenious, skillful, clever;1
68;公用;こうよう;government business, public use, public expense;1
69;小売;こうり;retail;1
70;効率;こうりつ;efficiency;1
71;公立;こうりつ;public institution;1
72;護衛;ごえい;guard, convoy, escort;1
73;コーナー;コーナー;corner;1
74;小柄;こがら;small, diminutive;1
75;小切手;こぎって;cheque, check;1
76;国産;こくさん;domestic products;1
77;国定;こくてい;state-sponsored, national;1
78;告白;こくはく;confession, acknowledgment;1
79;国防;こくぼう;national defense;1
80;国有;こくゆう;national ownership;1
81;極楽;ごくらく;paradise;1
82;国連;こくれん;U.N., United Nations;1
83;焦げ茶;こげちゃ;dark brown;1
84;語源;ごげん;word root, word derivation, etymology;1
85;心地;ここち;feeling, sensation, mood;1
86;心得;こころえ;knowledge, information;1
87;心掛け;こころがけ;readiness, intention, aim;1
88;心掛ける;こころがける;to bear in mind, to aim to do;1
89;志;こころざし;will, intention, motive;1
90;志す;こころざす;to plan, to intend, to aspire to;1
91;心強い;こころづよい;heartening, reassuring;1
92;心細い;こころぼそい;helpless, hopeless, discouraging;1
93;試み;こころみ;trial, experiment;1
94;試みる;こころみる;to try, to test;1
95;快い;こころよい;pleasant, agreeable;1
96;誤差;ごさ;error;1
97;ございます (かん);ございます (かん);to be (polite, to exist);1
98;孤児;こじ;orphan;1
99;こじれる;こじれる;to get complicated, to grow worse;1
100;こす (みずを～);こす (みずを～);to strain, to filter;1
101;梢;こずえ;treetop;1
102;個性;こせい;individuality, personality, idiosyncrasy;1
103;戸籍;こせき;census, family register;1
104;古代;こだい;ancient times;1
105;こたつ;こたつ;table with heater, (originally) charcoal brazier in a floor well;1
106;こだわる;こだわる;to fuss over, to be particular about;1
107;誇張;こちょう;exaggeration;1
108;こつ (をつかむ);こつ (をつかむ);secret, trick, hang;1
109;滑稽;こっけい;funny, humorous, comical;1
110;国交;こっこう;diplomatic relations;1
111;骨董品;こっとうひん;curio;1
112;固定;こてい;fixation, fixing (e.g., salary, capital);1
113;事柄;ことがら;matter, thing, affair, circumstance;1
114;孤独;こどく;isolation, loneliness, solitude;1
115;ことごとく;ことごとく;altogether, entirely;1
116;言付け;ことづけ;to leave a message;1
117;殊に;ことに;especially, above all;1
118;粉々;こなごな;in very small pieces;1
119;好ましい;このましい;nice, likable, desirable;1
120;碁盤;ごばん;Go board;1
121;個別;こべつ;particular case;1
122;ごまかす;ごまかす;to deceive, to falsify, to misrepresent;1
123;細やか;こまやか;meager, modest;1
124;コマーシャル;コマーシャル;a commercial;1
125;込める;こめる;to include, to put into;1
126;コメント;コメント;comment;1
127;籠もる;こもる;to seclude oneself, to be confined in;1
128;固有;こゆう;characteristic, tradition, peculiar;1
